[2024-11-30 05:31:44 PM-train - unet.py-INFO:epoch: 25, dataset: CVC-ColonDB, dice: 0.4758121052631579]
[2024-11-30 05:32:04 PM-train - unet.py-INFO:epoch: 25, dataset: ETIS-LaribPolypDB, dice: 0.259544387755102]
[2024-11-30 05:32:40 PM-train - unet.py-INFO:epoch: 26, dataset: CVC-300, dice: 0.520505]
[2024-11-30 05:32:48 PM-train - unet.py-INFO:epoch: 26, dataset: CVC-ClinicDB, dice: 0.749718548387097]
[2024-11-30 05:32:55 PM-train - unet.py-INFO:epoch: 26, dataset: Kvasir, dice: 0.531773]
[2024-11-30 05:33:20 PM-train - unet.py-INFO:epoch: 26, dataset: CVC-ColonDB, dice: 0.43891394736842115]
[2024-11-30 05:33:40 PM-train - unet.py-INFO:epoch: 26, dataset: ETIS-LaribPolypDB, dice: 0.2391642857142858]
[2024-11-30 05:34:16 PM-train - unet.py-INFO:epoch: 27, dataset: CVC-300, dice: 0.6360383333333333]
[2024-11-30 05:34:24 PM-train - unet.py-INFO:epoch: 27, dataset: CVC-ClinicDB, dice: 0.7973935483870965]
[2024-11-30 05:34:31 PM-train - unet.py-INFO:epoch: 27, dataset: Kvasir, dice: 0.4362510000000001]
[2024-11-30 05:34:56 PM-train - unet.py-INFO:epoch: 27, dataset: CVC-ColonDB, dice: 0.49503868421052655]
[2024-11-30 05:35:16 PM-train - unet.py-INFO:epoch: 27, dataset: ETIS-LaribPolypDB, dice: 0.16304642857142856]
[2024-11-30 05:35:52 PM-train - unet.py-INFO:epoch: 28, dataset: CVC-300, dice: 0.7436416666666668]
[2024-11-30 05:36:00 PM-train - unet.py-INFO:epoch: 28, dataset: CVC-ClinicDB, dice: 0.8440782258064519]
[2024-11-30 05:36:07 PM-train - unet.py-INFO:epoch: 28, dataset: Kvasir, dice: 0.6038979999999998]
[2024-11-30 05:36:33 PM-train - unet.py-INFO:epoch: 28, dataset: CVC-ColonDB, dice: 0.5695789473684217]
[2024-11-30 05:36:53 PM-train - unet.py-INFO:epoch: 28, dataset: ETIS-LaribPolypDB, dice: 0.26189591836734705]
[2024-11-30 05:37:29 PM-train - unet.py-INFO:epoch: 29, dataset: CVC-300, dice: 0.5345383333333333]
[2024-11-30 05:37:37 PM-train - unet.py-INFO:epoch: 29, dataset: CVC-ClinicDB, dice: 0.8212774193548388]
[2024-11-30 05:37:43 PM-train - unet.py-INFO:epoch: 29, dataset: Kvasir, dice: 0.46237399999999995]
[2024-11-30 05:38:09 PM-train - unet.py-INFO:epoch: 29, dataset: CVC-ColonDB, dice: 0.5008518421052637]
[2024-11-30 05:38:30 PM-train - unet.py-INFO:epoch: 29, dataset: ETIS-LaribPolypDB, dice: 0.1258510204081632]
[2024-11-30 05:39:06 PM-train - unet.py-INFO:epoch: 30, dataset: CVC-300, dice: 0.5975016666666666]
[2024-11-30 05:39:13 PM-train - unet.py-INFO:epoch: 30, dataset: CVC-ClinicDB, dice: 0.7557693548387096]
[2024-11-30 05:39:20 PM-train - unet.py-INFO:epoch: 30, dataset: Kvasir, dice: 0.4169720000000001]
[2024-11-30 05:39:45 PM-train - unet.py-INFO:epoch: 30, dataset: CVC-ColonDB, dice: 0.3862800000000006]
[2024-11-30 05:40:06 PM-train - unet.py-INFO:epoch: 30, dataset: ETIS-LaribPolypDB, dice: 0.1482755102040816]
[2024-11-30 05:40:42 PM-train - unet.py-INFO:epoch: 31, dataset: CVC-300, dice: 0.5380266666666667]
[2024-11-30 05:40:50 PM-train - unet.py-INFO:epoch: 31, dataset: CVC-ClinicDB, dice: 0.7925338709677421]
[2024-11-30 05:40:57 PM-train - unet.py-INFO:epoch: 31, dataset: Kvasir, dice: 0.45047299999999985]
[2024-11-30 05:41:22 PM-train - unet.py-INFO:epoch: 31, dataset: CVC-ColonDB, dice: 0.45698736842105275]
[2024-11-30 05:41:43 PM-train - unet.py-INFO:epoch: 31, dataset: ETIS-LaribPolypDB, dice: 0.12021683673469383]
[2024-11-30 05:42:19 PM-train - unet.py-INFO:epoch: 32, dataset: CVC-300, dice: 0.687423333333333]
[2024-11-30 05:42:26 PM-train - unet.py-INFO:epoch: 32, dataset: CVC-ClinicDB, dice: 0.8277024193548388]
[2024-11-30 05:42:33 PM-train - unet.py-INFO:epoch: 32, dataset: Kvasir, dice: 0.625761]
[2024-11-30 05:42:58 PM-train - unet.py-INFO:epoch: 32, dataset: CVC-ColonDB, dice: 0.5511552631578952]
[2024-11-30 05:43:19 PM-train - unet.py-INFO:epoch: 32, dataset: ETIS-LaribPolypDB, dice: 0.2735000000000002]
[2024-11-30 05:43:55 PM-train - unet.py-INFO:epoch: 33, dataset: CVC-300, dice: 0.40348666666666666]
[2024-11-30 05:44:02 PM-train - unet.py-INFO:epoch: 33, dataset: CVC-ClinicDB, dice: 0.8386927419354843]
[2024-11-30 05:44:09 PM-train - unet.py-INFO:epoch: 33, dataset: Kvasir, dice: 0.5556700000000001]
[2024-11-30 05:44:35 PM-train - unet.py-INFO:epoch: 33, dataset: CVC-ColonDB, dice: 0.4719247368421062]
[2024-11-30 05:44:57 PM-train - unet.py-INFO:epoch: 33, dataset: ETIS-LaribPolypDB, dice: 0.2830005102040819]
[2024-11-30 05:45:34 PM-train - unet.py-INFO:epoch: 34, dataset: CVC-300, dice: 0.6423483333333336]
[2024-11-30 05:45:41 PM-train - unet.py-INFO:epoch: 34, dataset: CVC-ClinicDB, dice: 0.8623653225806455]
[2024-11-30 05:45:48 PM-train - unet.py-INFO:epoch: 34, dataset: Kvasir, dice: 0.5609230000000001]
[2024-11-30 05:46:14 PM-train - unet.py-INFO:epoch: 34, dataset: CVC-ColonDB, dice: 0.518440263157895]
[2024-11-30 05:46:34 PM-train - unet.py-INFO:epoch: 34, dataset: ETIS-LaribPolypDB, dice: 0.2146581632653061]
[2024-11-30 05:46:38 PM-train - unet.py-INFO:##############################################################################best:0.8880426229508195]
[2024-11-30 05:47:11 PM-train - unet.py-INFO:epoch: 35, dataset: CVC-300, dice: 0.6254916666666666]
[2024-11-30 05:47:19 PM-train - unet.py-INFO:epoch: 35, dataset: CVC-ClinicDB, dice: 0.8435983870967738]
[2024-11-30 05:47:26 PM-train - unet.py-INFO:epoch: 35, dataset: Kvasir, dice: 0.5265700000000001]
