[2024-10-27 04:50:58 AM-train.py-INFO:epoch: 18, dataset: CVC-ColonDB, dice: 0.7077578947368419]
[2024-10-27 04:51:12 AM-train.py-INFO:epoch: 18, dataset: ETIS-LaribPolypDB, dice: 0.5253403061224492]
[2024-10-27 04:51:14 AM-train.py-INFO:##############################################################################best:0.9189016393442623]
[2024-10-27 04:52:09 AM-train.py-INFO:epoch: 19, dataset: CVC-300, dice: 0.8055483333333332]
[2024-10-27 04:52:13 AM-train.py-INFO:epoch: 19, dataset: CVC-ClinicDB, dice: 0.912849193548387]
[2024-10-27 04:52:17 AM-train.py-INFO:epoch: 19, dataset: Kvasir, dice: 0.8080610000000001]
[2024-10-27 04:52:31 AM-train.py-INFO:epoch: 19, dataset: CVC-ColonDB, dice: 0.6866094736842109]
[2024-10-27 04:52:45 AM-train.py-INFO:epoch: 19, dataset: ETIS-LaribPolypDB, dice: 0.5073285714285714]
[2024-10-27 04:53:42 AM-train.py-INFO:epoch: 20, dataset: CVC-300, dice: 0.8333749999999999]
[2024-10-27 04:53:46 AM-train.py-INFO:epoch: 20, dataset: CVC-ClinicDB, dice: 0.9293999999999999]
[2024-10-27 04:53:50 AM-train.py-INFO:epoch: 20, dataset: Kvasir, dice: 0.7860830000000001]
[2024-10-27 04:54:05 AM-train.py-INFO:epoch: 20, dataset: CVC-ColonDB, dice: 0.6909781578947366]
[2024-10-27 04:54:19 AM-train.py-INFO:epoch: 20, dataset: ETIS-LaribPolypDB, dice: 0.535362755102041]
[2024-10-27 04:54:21 AM-train.py-INFO:##############################################################################best:0.9221524590163933]
[2024-10-27 04:55:16 AM-train.py-INFO:epoch: 21, dataset: CVC-300, dice: 0.8312033333333331]
[2024-10-27 04:55:20 AM-train.py-INFO:epoch: 21, dataset: CVC-ClinicDB, dice: 0.9266161290322581]
[2024-10-27 04:55:24 AM-train.py-INFO:epoch: 21, dataset: Kvasir, dice: 0.8195759999999995]
[2024-10-27 04:55:39 AM-train.py-INFO:epoch: 21, dataset: CVC-ColonDB, dice: 0.6932550000000005]
[2024-10-27 04:55:53 AM-train.py-INFO:epoch: 21, dataset: ETIS-LaribPolypDB, dice: 0.5383785714285718]
[2024-10-27 04:56:50 AM-train.py-INFO:epoch: 22, dataset: CVC-300, dice: 0.8370700000000001]
[2024-10-27 04:56:54 AM-train.py-INFO:epoch: 22, dataset: CVC-ClinicDB, dice: 0.9262572580645159]
[2024-10-27 04:56:58 AM-train.py-INFO:epoch: 22, dataset: Kvasir, dice: 0.822956]
[2024-10-27 04:57:12 AM-train.py-INFO:epoch: 22, dataset: CVC-ColonDB, dice: 0.6988694736842106]
[2024-10-27 04:57:26 AM-train.py-INFO:epoch: 22, dataset: ETIS-LaribPolypDB, dice: 0.5424918367346939]
[2024-10-27 04:58:23 AM-train.py-INFO:epoch: 23, dataset: CVC-300, dice: 0.8180600000000001]
[2024-10-27 04:58:27 AM-train.py-INFO:epoch: 23, dataset: CVC-ClinicDB, dice: 0.9250758064516127]
[2024-10-27 04:58:31 AM-train.py-INFO:epoch: 23, dataset: Kvasir, dice: 0.8061630000000001]
[2024-10-27 04:58:46 AM-train.py-INFO:epoch: 23, dataset: CVC-ColonDB, dice: 0.6912073684210535]
[2024-10-27 04:59:00 AM-train.py-INFO:epoch: 23, dataset: ETIS-LaribPolypDB, dice: 0.5282852040816324]
[2024-10-27 04:59:57 AM-train.py-INFO:epoch: 24, dataset: CVC-300, dice: 0.8279000000000001]
[2024-10-27 05:00:01 AM-train.py-INFO:epoch: 24, dataset: CVC-ClinicDB, dice: 0.9256233870967745]
[2024-10-27 05:00:05 AM-train.py-INFO:epoch: 24, dataset: Kvasir, dice: 0.8033489999999998]
[2024-10-27 05:00:19 AM-train.py-INFO:epoch: 24, dataset: CVC-ColonDB, dice: 0.6857613157894741]
[2024-10-27 05:00:33 AM-train.py-INFO:epoch: 24, dataset: ETIS-LaribPolypDB, dice: 0.5180887755102045]
[2024-10-27 05:01:30 AM-train.py-INFO:epoch: 25, dataset: CVC-300, dice: 0.8144700000000001]
[2024-10-27 05:01:34 AM-train.py-INFO:epoch: 25, dataset: CVC-ClinicDB, dice: 0.9177943548387094]
[2024-10-27 05:01:38 AM-train.py-INFO:epoch: 25, dataset: Kvasir, dice: 0.7812170000000002]
[2024-10-27 05:01:53 AM-train.py-INFO:epoch: 25, dataset: CVC-ColonDB, dice: 0.7121221052631577]
[2024-10-27 05:02:07 AM-train.py-INFO:epoch: 25, dataset: ETIS-LaribPolypDB, dice: 0.504366836734694]
[2024-10-27 05:03:03 AM-train.py-INFO:epoch: 26, dataset: CVC-300, dice: 0.8410350000000002]
[2024-10-27 05:03:07 AM-train.py-INFO:epoch: 26, dataset: CVC-ClinicDB, dice: 0.933918548387097]
[2024-10-27 05:03:11 AM-train.py-INFO:epoch: 26, dataset: Kvasir, dice: 0.797258]
[2024-10-27 05:03:26 AM-train.py-INFO:epoch: 26, dataset: CVC-ColonDB, dice: 0.6932852631578948]
[2024-10-27 05:03:40 AM-train.py-INFO:epoch: 26, dataset: ETIS-LaribPolypDB, dice: 0.5646479591836734]
[2024-10-27 05:04:37 AM-train.py-INFO:epoch: 27, dataset: CVC-300, dice: 0.8210016666666663]
[2024-10-27 05:04:41 AM-train.py-INFO:epoch: 27, dataset: CVC-ClinicDB, dice: 0.9298459677419355]
[2024-10-27 05:04:45 AM-train.py-INFO:epoch: 27, dataset: Kvasir, dice: 0.8044850000000003]
[2024-10-27 05:04:59 AM-train.py-INFO:epoch: 27, dataset: CVC-ColonDB, dice: 0.705127368421053]
[2024-10-27 05:05:13 AM-train.py-INFO:epoch: 27, dataset: ETIS-LaribPolypDB, dice: 0.5544372448979591]
[2024-10-27 05:06:10 AM-train.py-INFO:epoch: 28, dataset: CVC-300, dice: 0.8274849999999999]
[2024-10-27 05:06:14 AM-train.py-INFO:epoch: 28, dataset: CVC-ClinicDB, dice: 0.9358564516129031]
[2024-10-27 05:06:18 AM-train.py-INFO:epoch: 28, dataset: Kvasir, dice: 0.798065]
[2024-10-27 05:06:32 AM-train.py-INFO:epoch: 28, dataset: CVC-ColonDB, dice: 0.7014578947368412]
[2024-10-27 05:06:46 AM-train.py-INFO:epoch: 28, dataset: ETIS-LaribPolypDB, dice: 0.5623852040816326]
