[2024-10-25 11:35:56 AM-train.py-INFO:epoch: 7, dataset: CVC-ClinicDB, dice: 0.8662040322580641]
[2024-10-25 11:36:00 AM-train.py-INFO:epoch: 7, dataset: Kvasir, dice: 0.8633149999999994]
[2024-10-25 11:36:14 AM-train.py-INFO:epoch: 7, dataset: CVC-ColonDB, dice: 0.6875884210526312]
[2024-10-25 11:36:28 AM-train.py-INFO:epoch: 7, dataset: ETIS-LaribPolypDB, dice: 0.5880142857142857]
[2024-10-25 11:37:03 AM-train.py-INFO:##############################################################################best:0.7050651629072678]
[2024-10-25 11:38:59 AM-train.py-INFO:epoch: 8, dataset: CVC-300, dice: 0.8403216666666669]
[2024-10-25 11:39:08 AM-train.py-INFO:epoch: 8, dataset: CVC-ClinicDB, dice: 0.8808258064516125]
[2024-10-25 11:39:16 AM-train.py-INFO:epoch: 8, dataset: Kvasir, dice: 0.8757379999999999]
[2024-10-25 11:39:46 AM-train.py-INFO:epoch: 8, dataset: CVC-ColonDB, dice: 0.7317971052631574]
[2024-10-25 11:40:13 AM-train.py-INFO:epoch: 8, dataset: ETIS-LaribPolypDB, dice: 0.596982142857143]
[2024-10-25 11:41:28 AM-train.py-INFO:##############################################################################best:0.7336006265664151]
[2024-10-25 11:43:01 AM-train.py-INFO:epoch: 9, dataset: CVC-300, dice: 0.8328216666666666]
[2024-10-25 11:43:06 AM-train.py-INFO:epoch: 9, dataset: CVC-ClinicDB, dice: 0.8864717741935484]
[2024-10-25 11:43:11 AM-train.py-INFO:epoch: 9, dataset: Kvasir, dice: 0.8739110000000001]
[2024-10-25 11:43:29 AM-train.py-INFO:epoch: 9, dataset: CVC-ColonDB, dice: 0.7333747368421046]
[2024-10-25 11:43:45 AM-train.py-INFO:epoch: 9, dataset: ETIS-LaribPolypDB, dice: 0.5930642857142856]
[2024-10-25 11:45:51 AM-train.py-INFO:epoch: 10, dataset: CVC-300, dice: 0.83573]
