[2024-12-02 04:36:22 PM-train - unet.py-INFO:epoch: 33, dataset: ETIS-LaribPolypDB, dice: 0.18701938775510207]
[2024-12-02 04:36:33 PM-train - unet.py-INFO:##############################################################################best:0.881127868852459]
[2024-12-02 04:37:39 PM-train - unet.py-INFO:epoch: 34, dataset: CVC-300, dice: 0.32273999999999997]
[2024-12-02 04:38:01 PM-train - unet.py-INFO:epoch: 34, dataset: CVC-ClinicDB, dice: 0.8138314516129035]
[2024-12-02 04:38:20 PM-train - unet.py-INFO:epoch: 34, dataset: Kvasir, dice: 0.44911600000000007]
[2024-12-02 04:39:28 PM-train - unet.py-INFO:epoch: 34, dataset: CVC-ColonDB, dice: 0.38423552631578983]
[2024-12-02 04:40:13 PM-train - unet.py-INFO:epoch: 34, dataset: ETIS-LaribPolypDB, dice: 0.1601933673469388]
[2024-12-02 04:41:31 PM-train - unet.py-INFO:epoch: 35, dataset: CVC-300, dice: 0.6905699999999999]
[2024-12-02 04:41:53 PM-train - unet.py-INFO:epoch: 35, dataset: CVC-ClinicDB, dice: 0.8371798387096777]
[2024-12-02 04:42:12 PM-train - unet.py-INFO:epoch: 35, dataset: Kvasir, dice: 0.5788889999999999]
[2024-12-02 04:43:21 PM-train - unet.py-INFO:epoch: 35, dataset: CVC-ColonDB, dice: 0.49666868421052696]
[2024-12-02 04:44:08 PM-train - unet.py-INFO:epoch: 35, dataset: ETIS-LaribPolypDB, dice: 0.26049183673469384]
[2024-12-02 04:45:24 PM-train - unet.py-INFO:epoch: 36, dataset: CVC-300, dice: 0.5579899999999999]
[2024-12-02 04:45:45 PM-train - unet.py-INFO:epoch: 36, dataset: CVC-ClinicDB, dice: 0.8124403225806451]
[2024-12-02 04:46:03 PM-train - unet.py-INFO:epoch: 36, dataset: Kvasir, dice: 0.4930240000000002]
[2024-12-02 04:47:11 PM-train - unet.py-INFO:epoch: 36, dataset: CVC-ColonDB, dice: 0.42677026315789507]
[2024-12-02 04:47:56 PM-train - unet.py-INFO:epoch: 36, dataset: ETIS-LaribPolypDB, dice: 0.2258989795918367]
[2024-12-02 04:49:12 PM-train - unet.py-INFO:epoch: 37, dataset: CVC-300, dice: 0.3981816666666667]
[2024-12-02 04:49:34 PM-train - unet.py-INFO:epoch: 37, dataset: CVC-ClinicDB, dice: 0.6957516129032257]
[2024-12-02 04:49:52 PM-train - unet.py-INFO:epoch: 37, dataset: Kvasir, dice: 0.45310599999999984]
[2024-12-02 04:51:00 PM-train - unet.py-INFO:epoch: 37, dataset: CVC-ColonDB, dice: 0.3496373684210527]
[2024-12-02 04:51:44 PM-train - unet.py-INFO:epoch: 37, dataset: ETIS-LaribPolypDB, dice: 0.19040969387755102]
[2024-12-02 04:53:00 PM-train - unet.py-INFO:epoch: 38, dataset: CVC-300, dice: 0.40052000000000004]
[2024-12-02 04:53:22 PM-train - unet.py-INFO:epoch: 38, dataset: CVC-ClinicDB, dice: 0.6500217741935481]
[2024-12-02 04:53:40 PM-train - unet.py-INFO:epoch: 38, dataset: Kvasir, dice: 0.357991]
[2024-12-02 04:54:48 PM-train - unet.py-INFO:epoch: 38, dataset: CVC-ColonDB, dice: 0.306629210526316]
[2024-12-02 04:55:33 PM-train - unet.py-INFO:epoch: 38, dataset: ETIS-LaribPolypDB, dice: 0.1531607142857142]
[2024-12-02 04:56:48 PM-train - unet.py-INFO:epoch: 39, dataset: CVC-300, dice: 0.3624099999999998]
[2024-12-02 04:57:10 PM-train - unet.py-INFO:epoch: 39, dataset: CVC-ClinicDB, dice: 0.8208556451612901]
[2024-12-02 04:57:27 PM-train - unet.py-INFO:epoch: 39, dataset: Kvasir, dice: 0.499484]
[2024-12-02 04:58:35 PM-train - unet.py-INFO:epoch: 39, dataset: CVC-ColonDB, dice: 0.427880789473684]
[2024-12-02 04:59:20 PM-train - unet.py-INFO:epoch: 39, dataset: ETIS-LaribPolypDB, dice: 0.19528979591836718]
[2024-12-02 05:00:36 PM-train - unet.py-INFO:epoch: 40, dataset: CVC-300, dice: 0.5313683333333332]
[2024-12-02 05:00:57 PM-train - unet.py-INFO:epoch: 40, dataset: CVC-ClinicDB, dice: 0.8611516129032257]
[2024-12-02 05:01:15 PM-train - unet.py-INFO:epoch: 40, dataset: Kvasir, dice: 0.5243890000000001]
[2024-12-02 05:02:23 PM-train - unet.py-INFO:epoch: 40, dataset: CVC-ColonDB, dice: 0.44067105263157896]
[2024-12-02 05:03:08 PM-train - unet.py-INFO:epoch: 40, dataset: ETIS-LaribPolypDB, dice: 0.20657857142857144]
[2024-12-02 05:03:18 PM-train - unet.py-INFO:##############################################################################best:0.8853573770491804]
[2024-12-02 05:04:23 PM-train - unet.py-INFO:epoch: 41, dataset: CVC-300, dice: 0.5886666666666666]
[2024-12-02 05:04:44 PM-train - unet.py-INFO:epoch: 41, dataset: CVC-ClinicDB, dice: 0.854808870967742]
[2024-12-02 05:05:02 PM-train - unet.py-INFO:epoch: 41, dataset: Kvasir, dice: 0.5492459999999999]
[2024-12-02 05:06:10 PM-train - unet.py-INFO:epoch: 41, dataset: CVC-ColonDB, dice: 0.5066510526315794]
[2024-12-02 05:06:56 PM-train - unet.py-INFO:epoch: 41, dataset: ETIS-LaribPolypDB, dice: 0.22381632653061237]
[2024-12-02 05:08:13 PM-train - unet.py-INFO:epoch: 42, dataset: CVC-300, dice: 0.5214466666666665]
[2024-12-02 05:08:35 PM-train - unet.py-INFO:epoch: 42, dataset: CVC-ClinicDB, dice: 0.8678943548387096]
[2024-12-02 05:08:53 PM-train - unet.py-INFO:epoch: 42, dataset: Kvasir, dice: 0.53829]
